subplot,model,min_kappa,mel_bands,params,mflops,eer_percent
(a) CRNNVAD,CRNNVAD (baseline),-,80,673873,2.249961,9.01
(a) CRNNVAD,DCRNNVAD 0.5,0.5,40,664512,1.182921,9.12
(a) CRNNVAD,DCRNNVAD 0.25,0.25,20,659714,0.635721,9.42
(a) CRNNVAD,DCRNNVAD 0.125,0.125,12,657794,0.416841,10.4
(a) CRNNVAD,DCRNNVAD 0.0625,0.0625,12,657794,0.416841,10.32
(a) CRNNVAD,"SCRNNVAD [0.5, 1.0)",0.5,74,666487,2.07278,9.98
(a) CRNNVAD,"SCRNNVAD [0.25, 0.5)",0.25,20,659714,0.635721,10.17
(a) CRNNVAD,"SCRNNVAD [0.125, 0.25)",0.125,13,603657,0.440256,10.52
(a) CRNNVAD,"SCRNNVAD [0.0625, 0.125)",0.0625,10,601143,0.348497,12.36
(b) TrVAD,TrVAD (baseline),-,80,138082,19.573904,8.08
(b) TrVAD,DTrVAD 0.5,0.5,40,35442,5.054624,8.35
(b) TrVAD,DTrVAD 0.25,0.25,20,9322,1.344584,9.66
(b) TrVAD,DTrVAD 0.125,0.125,12,3578,0.52316,10.5
(b) TrVAD,DTrVAD 0.0625,0.0625,12,657794,0.52316,10.77
(b) TrVAD,"STrVAD [0.5, 1.0)",0.5,48,50594,7.201232,10.16
(b) TrVAD,"STrVAD [0.25, 0.5)",0.25,24,13202,1.89728,10.49
(b) TrVAD,"STrVAD [0.125, 0.25)",0.125,16,6114,0.886544,11.04
(b) TrVAD,"STrVAD [0.0625, 0.125)",0.0625,8,1714,0.254432,12.81
