subplot,model,snr_range,eer_percent
(a) CRNNVAD,CRNNVAD (baseline),< 5 dB,13.87
(a) CRNNVAD,CRNNVAD (baseline),5-15 dB,8.89
(a) CRNNVAD,CRNNVAD (baseline),15-25 dB,7.82
(a) CRNNVAD,CRNNVAD (baseline),>= 25 dB,7.12
(a) CRNNVAD,DCRNNVAD 0.5,< 5 dB,14.58
(a) CRNNVAD,DCRNNVAD 0.5,5-15 dB,9.82
(a) CRNNVAD,DCRNNVAD 0.5,15-25 dB,8.12
(a) CRNNVAD,DCRNNVAD 0.5,>= 25 dB,7.15
(a) CRNNVAD,DCRNNVAD 0.25,< 5 dB,14.31
(a) CRNNVAD,DCRNNVAD 0.25,5-15 dB,10.1
(a) CRNNVAD,DCRNNVAD 0.25,15-25 dB,8.4
(a) CRNNVAD,DCRNNVAD 0.25,>= 25 dB,7.72
(a) CRNNVAD,DCRNNVAD 0.125,< 5 dB,18.27
(a) CRNNVAD,DCRNNVAD 0.125,5-15 dB,11.85
(a) CRNNVAD,DCRNNVAD 0.125,15-25 dB,9.2
(a) CRNNVAD,DCRNNVAD 0.125,>= 25 dB,7.7
(a) CRNNVAD,DCRNNVAD 0.0625,< 5 dB,17.82
(a) CRNNVAD,DCRNNVAD 0.0625,5-15 dB,12.89
(a) CRNNVAD,DCRNNVAD 0.0625,15-25 dB,10.27
(a) CRNNVAD,DCRNNVAD 0.0625,>= 25 dB,9.38
(a) CRNNVAD,"SCRNNVAD [0.5, 1.0)",< 5 dB,17.81
(a) CRNNVAD,"SCRNNVAD [0.5, 1.0)",5-15 dB,10.66
(a) CRNNVAD,"SCRNNVAD [0.5, 1.0)",15-25 dB,8.43
(a) CRNNVAD,"SCRNNVAD [0.5, 1.0)",>= 25 dB,7.12
(a) CRNNVAD,"SCRNNVAD [0.25, 0.5)",< 5 dB,17.66
(a) CRNNVAD,"SCRNNVAD [0.25, 0.5)",5-15 dB,11.06
(a) CRNNVAD,"SCRNNVAD [0.25, 0.5)",15-25 dB,9.17
(a) CRNNVAD,"SCRNNVAD [0.25, 0.5)",>= 25 dB,7.52
(a) CRNNVAD,"SCRNNVAD [0.125, 0.25)",< 5 dB,16.47
(a) CRNNVAD,"SCRNNVAD [0.125, 0.25)",5-15 dB,11.69
(a) CRNNVAD,"SCRNNVAD [0.125, 0.25)",15-25 dB,10.01
(a) CRNNVAD,"SCRNNVAD [0.125, 0.25)",>= 25 dB,8.01
(a) CRNNVAD,"SCRNNVAD [0.0625, 0.125)",< 5 dB,19.84
(a) CRNNVAD,"SCRNNVAD [0.0625, 0.125)",5-15 dB,14.75
(a) CRNNVAD,"SCRNNVAD [0.0625, 0.125)",15-25 dB,11.81
(a) CRNNVAD,"SCRNNVAD [0.0625, 0.125)",>= 25 dB,8.46
(b) TrVAD,TrVAD (baseline),< 5 dB,15.36
(b) TrVAD,TrVAD (baseline),5-15 dB,9.23
(b) TrVAD,TrVAD (baseline),15-25 dB,6.25
(b) TrVAD,TrVAD (baseline),>= 25 dB,4.11
(b) TrVAD,DTrVAD 0.5,< 5 dB,18.86
(b) TrVAD,DTrVAD 0.5,5-15 dB,10.54
(b) TrVAD,DTrVAD 0.5,15-25 dB,6.61
(b) TrVAD,DTrVAD 0.5,>= 25 dB,3.95
(b) TrVAD,DTrVAD 0.25,< 5 dB,19.98
(b) TrVAD,DTrVAD 0.25,5-15 dB,12.59
(b) TrVAD,DTrVAD 0.25,15-25 dB,7.76
(b) TrVAD,DTrVAD 0.25,>= 25 dB,4.76
(b) TrVAD,DTrVAD 0.125,< 5 dB,22.83
(b) TrVAD,DTrVAD 0.125,5-15 dB,13.91
(b) TrVAD,DTrVAD 0.125,15-25 dB,8.14
(b) TrVAD,DTrVAD 0.125,>= 25 dB,5.17
(b) TrVAD,DTrVAD 0.0625,< 5 dB,23.43
(b) TrVAD,DTrVAD 0.0625,5-15 dB,14.24
(b) TrVAD,DTrVAD 0.0625,15-25 dB,9.58
(b) TrVAD,DTrVAD 0.0625,>= 25 dB,5.34
(b) TrVAD,"STrVAD [0.5, 1.0)",< 5 dB,20.53
(b) TrVAD,"STrVAD [0.5, 1.0)",5-15 dB,12.41
(b) TrVAD,"STrVAD [0.5, 1.0)",15-25 dB,8.32
(b) TrVAD,"STrVAD [0.5, 1.0)",>= 25 dB,5.56
(b) TrVAD,"STrVAD [0.25, 0.5)",< 5 dB,22.28
(b) TrVAD,"STrVAD [0.25, 0.5)",5-15 dB,13.16
(b) TrVAD,"STrVAD [0.25, 0.5)",15-25 dB,8.19
(b) TrVAD,"STrVAD [0.25, 0.5)",>= 25 dB,5.25
(b) TrVAD,"STrVAD [0.125, 0.25)",< 5 dB,23.19
(b) TrVAD,"STrVAD [0.125, 0.25)",5-15 dB,14.35
(b) TrVAD,"STrVAD [0.125, 0.25)",15-25 dB,8.93
(b) TrVAD,"STrVAD [0.125, 0.25)",>= 25 dB,5.61
(b) TrVAD,"STrVAD [0.0625, 0.125)",< 5 dB,25.57
(b) TrVAD,"STrVAD [0.0625, 0.125)",5-15 dB,17.45
(b) TrVAD,"STrVAD [0.0625, 0.125)",15-25 dB,11.05
(b) TrVAD,"STrVAD [0.0625, 0.125)",>= 25 dB,6.4
