model,dynamic_resblock,min_kappa,params,gflops,eer_percent
ResNet34 (baseline),-,-,5.4,5.64,6.26
DynResNet34,0,0.5,5.1,5.02,3.32
DynResNet34,1,0.5,4.9,4.46,6.24
DynResNet34,2,0.5,3.7,3.88,6.01
DynResNet34,3,0.5,4.78,4.78,4.57
DynResNet34,0,0.25,5.1,4.92,3.68
DynResNet34,1,0.25,4.8,4.25,6.43
DynResNet34,2,0.25,3.4,3.48,5.8
DynResNet34,3,0.25,2.8,4.63,5.95
DynResNet34,0,0.125,5.1,4.89,7.52
DynResNet34,1,0.125,4.8,4.15,5.89
DynResNet34,2,0.125,3.3,3.37,6.5
DynResNet34,3,0.125,2.7,4.58,3.04
DynResNet34,0,0.0625,5.1,4.88,5.68
DynResNet34,1,0.0625,4.8,4.12,7.44
DynResNet34,2,0.0625,3.2,3.34,4.7
DynResNet34,3,0.0625,2.6,4.58,5.52
DynResNet34,"0, 1, 2, 3",0.5,1.6,2.05,3.93
DynResNet34,"0, 1, 2, 3",0.25,0.8,1.18,3.48
DynResNet34,"0, 1, 2, 3",0.125,0.5,0.91,2.53
DynResNet34,"0, 1, 2, 3",0.0625,0.8,1.03,7.34
B01,N/A,N/A,Not reported,Not reported,9.57
B02,N/A,N/A,Not reported,Not reported,8.09
T39,N/A,N/A,Not reported,Not reported,7.42
T58,N/A,N/A,Not reported,Not reported,6.14
T04,N/A,N/A,Not reported,Not reported,5.74
T32,N/A,N/A,Not reported,Not reported,4.92
T41,N/A,N/A,Not reported,Not reported,4.5
T50,N/A,N/A,Not reported,Not reported,3.56
T24,N/A,N/A,Not reported,Not reported,3.45
T60,N/A,N/A,Not reported,Not reported,2.65
T45,N/A,N/A,Not reported,Not reported,1.86
T05,N/A,N/A,Not reported,Not reported,0.22
